epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.26740796328522265,0.6187444606050849,0.2975293426215649,0.33539826825261115
1,0.5898731490597129,0.2278437538072467,0.5410869657993317,0.23534357380121945
2,0.6691037529706955,0.1744925309997052,0.5708482336997985,0.22525514122098683
3,0.6929282673448324,0.15755672672763466,0.6014800149202347,0.20467594731599092
4,0.7056171634793281,0.14957063356414438,0.6099188905954361,0.1899582151323557
5,0.7169722573459149,0.14199346204288305,0.6603256592154503,0.17402624107897283
6,0.7260801663249731,0.13714781706221402,0.6668982023000717,0.17239522291347384
7,0.7364935825765133,0.13210403695236891,0.6729071679711341,0.16737825982272625
8,0.7418289961665869,0.12926383437588812,0.6925189512968063,0.16081030489876866
9,0.7488661511242389,0.12505329526495187,0.6986385935544968,0.1632307350449264
10,0.7527467049658298,0.12452211144845933,0.7146414509415626,0.16753319062292577
11,0.7598795530200004,0.12021702141035348,0.7199536153674125,0.15468672385439278
12,0.7651340620219708,0.117819790286012,0.7269510948657989,0.16630562249571085
13,0.7690284299105405,0.11605170818977058,0.7304689717292786,0.16369502544403075
14,0.7725821872800589,0.11404049568809568,0.7437183478474617,0.15780019525438546
15,0.779359489902854,0.11047342799603939,0.7533601614832878,0.15490719806402922
16,0.7813181098550558,0.10941953664645553,0.7479722905158996,0.1537109433673322
17,0.7817743359506131,0.10936657286249102,0.7545114994049072,0.14984243009239434
18,0.7873035891354084,0.10634798211045564,0.7566416621208191,0.14999865902587772
19,0.7888189600408078,0.10627683678176254,0.7538651272654533,0.14920216515660287
20,0.7923369757831097,0.10325711862649768,0.7627973428368569,0.15455988889560104
21,0.7963362027704716,0.10191785135772079,0.765506754219532,0.16025532549247146
22,0.7990682250261307,0.10071432619355619,0.7596999406814575,0.1532215491309762
23,0.8021796010434628,0.09923862798139453,0.7595880544185638,0.14559341922402383
24,0.8041789692640304,0.0979695250093937,0.7702265346050262,0.13644616028293968
25,0.8044325624406338,0.09727439132519067,0.7751174712181091,0.15079435052350162
26,0.8077300156652928,0.09648418713361025,0.7635149428248406,0.147966617513448
27,0.8052788992226124,0.09731138459406793,0.7832479071617127,0.14543328270316125
28,0.8132666845619678,0.09406933461781591,0.781650401353836,0.14763288760557772
29,0.8104703545570373,0.09529194043017924,0.788765835762024,0.14460056594572962
30,0.8178004847466945,0.09094814389478416,0.7892877653241157,0.14274601408280432
31,0.8217148062586784,0.08863799511454999,0.7860515740513802,0.1406553201004863
32,0.8231449027359485,0.08790320639731362,0.785929542183876,0.14179241458885372
33,0.8218026353418827,0.08836316497996449,0.7856089746952057,0.1501811302918941
34,0.8177623644471168,0.09160082106944173,0.7946290332078934,0.14550972962751985
35,0.8289524215459824,0.08543744908180088,0.7978768956661224,0.15110217006877064
36,0.827103930413723,0.08564007875742391,0.7947939056158065,0.1423383475560695
37,0.8283249081671238,0.08507762264925986,0.7981375819444656,0.14709005801007152
38,0.8331715044379234,0.08341170778265222,0.7948178070783615,0.16397098037414254
39,0.8309118244051933,0.08264859801623971,0.8023316717147827,0.16722076347097756
